Count, min, max,50,90,99,99.99,,,
,,,,,,,,50,0
,,,,,,,,90,302
10199523,0,3864575,0,302,302,5135,,99,302
16168753,0,2930687,0,302,302,9063,,99.99,4127.25
16321789,0,18661375,0,302,302,9063,,,
17066391,0,944127,0,302,302,4227,,,
16198071,0,755711,0,302,302,9063,,,
15811750,0,17104895,0,302,302,8151,,,
17011012,0,800767,0,302,302,4531,,,
17067367,0,808447,0,302,302,2113,,,
16394335,0,20627455,0,302,302,7547,,,
16885479,0,1033215,0,302,302,2415,,,
16917331,0,740863,0,302,302,9063,,,
17204916,0,813567,0,302,302,1812,,,
17186683,0,846847,0,302,302,1811,,,
17277168,0,7249919,0,302,302,1510,,,
16346701,0,788991,0,302,302,8759,,,
16353642,0,796159,0,302,302,9063,,,
15979115,0,18825215,0,302,302,3321,,,
16441598,0,795135,0,302,302,9063,,,
15487104,0,3956735,0,302,302,2717,,,
17353282,0,818175,0,302,302,1811,,,
15623272,0,10584063,0,302,302,3019,,,
17198577,0,801279,0,302,302,1811,,,
17255431,0,823807,0,302,302,1811,,,
17287908,0,843263,0,302,302,1510,,,
17335008,0,796671,0,302,302,1811,,,
17084875,0,794623,0,302,302,3623,,,
16794662,0,773119,0,302,302,2415,,,
15913145,0,636927,0,302,302,2113,,,
16436621,0,778239,0,302,302,9063,,,
16329223,0,8278015,0,302,302,2717,,,
16497501,0,697855,0,302,302,7247,,,
17069621,0,866815,0,302,302,2415,,,
17051070,0,800767,0,302,302,2717,,,
16469725,0,9601023,0,302,302,2415,,,
16954977,0,802303,0,302,302,9063,,,
16854766,0,808447,0,302,302,9063,,,
17423552,0,901119,0,302,302,1510,,,
17169702,0,713215,0,302,302,1811,,,
17055944,0,10977279,0,302,302,1811,,,
16528241,0,1227775,0,302,302,2415,,,
17003755,0,860159,0,302,302,8759,,,
17250435,0,834559,0,302,302,1811,,,
17450670,0,799743,0,302,302,1510,,,
17332037,0,809471,0,302,302,1510,,,
17363032,0,799743,0,302,302,1811,,,
17397559,0,805887,0,302,302,1811,,,
17282950,0,828927,0,302,302,1811,,,
17372749,0,1340415,0,302,302,1510,,,
17552637,0,838655,0,302,302,1510,,,
17511621,0,805887,0,302,302,1509,,,
17299265,0,757247,0,302,302,1812,,,
17369658,0,778751,0,302,302,1811,,,
17265993,0,809983,0,302,302,1811,,,
16962831,0,16474111,0,302,302,1811,,,
17312380,0,770559,0,302,302,1811,,,
16615267,0,768511,0,302,302,9063,,,
16521864,0,833023,0,302,302,9663,,,
16701551,0,3717119,0,302,302,9967,,,
17221979,0,717311,0,302,302,2717,,,
16946864,0,839679,0,302,302,3019,,,
